friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,field_name,field_type_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,match_status,unmatched_source
b1g_joGbEOvFDroC,T3_LE30_SUBST_PCT,esriFieldTypeDouble,T3_LE30_SUBST_PCT,b1g_joGbEOvFDroC,Percent of extremely low income households (household income less than or equal to 30% HAMFI) without complete kitchen and plumbing,matched,
b1g_joGbEOvFDroC,T10_LE30_OC_PCT,esriFieldTypeDouble,T10_LE30_OC_PCT,b1g_joGbEOvFDroC,Percent of extremely low income households (household income less than or equal to 30% HAMFI) with more than one person per room,matched,
b1g_joGbEOvFDroC,T8_LE30_CB_PCT,esriFieldTypeDouble,T8_LE30_CB_PCT,b1g_joGbEOvFDroC,Percent of extremely low income households (household income less than or equal to 30% HAMFI) with cost burden over 30%,matched,
b1g_joGbEOvFDroC,T8_LE30_CB50_PCT,esriFieldTypeDouble,T8_LE30_CB50_PCT,b1g_joGbEOvFDroC,Percent of extremely low income households (household income less than or equal to 30% HAMFI) with cost burden over 50%,matched,
b1g_joGbEOvFDroC,T1_LE50_HP_PCT,esriFieldTypeDouble,T1_LE50_HP_PCT,b1g_joGbEOvFDroC,Percent of low income households (household income less than or equal to 50% HAMFI) with any of the 4 housing problems,matched,
b1g_joGbEOvFDroC,T2_LE50_HP2_PCT,esriFieldTypeDouble,T2_LE50_HP2_PCT,b1g_joGbEOvFDroC,Percent of low income households (household income less than or equal to 50% HAMFI) with any of the 4 severe housing problems,matched,
b1g_joGbEOvFDroC,T3_LE50_SUBST_PCT,esriFieldTypeDouble,T3_LE50_SUBST_PCT,b1g_joGbEOvFDroC,Percent of low income households (household income less than or equal to 50% HAMFI) without complete kitchen and plumbing,matched,
b1g_joGbEOvFDroC,T10_LE50_OC_PCT,esriFieldTypeDouble,T10_LE50_OC_PCT,b1g_joGbEOvFDroC,Percent of low income households (household income less than or equal to 50% HAMFI) with more than one person per room,matched,
b1g_joGbEOvFDroC,T8_LE50_CB_PCT,esriFieldTypeDouble,T8_LE50_CB_PCT,b1g_joGbEOvFDroC,Percent of low income households (household income less than or equal to 50% HAMFI) with cost burden over 30%,matched,
b1g_joGbEOvFDroC,T8_LE50_CB50_PCT,esriFieldTypeDouble,T8_LE50_CB50_PCT,b1g_joGbEOvFDroC,Percent of low income households (household income less than or equal to 50% HAMFI) with cost burden over 50%,matched,
b1g_joGbEOvFDroC,T1_LE80_HP_PCT,esriFieldTypeDouble,T1_LE80_HP_PCT,b1g_joGbEOvFDroC,Percent of low and moderate income households (household income less than or equal to 80% HAMFI) with any of the 4 housing problems,matched,
b1g_joGbEOvFDroC,T2_LE80_HP2_PCT,esriFieldTypeDouble,T2_LE80_HP2_PCT,b1g_joGbEOvFDroC,Percent of low and moderate income households (household income less than or equal to 80% HAMFI) with any of the 4 severe housing problems,matched,
