friendlier_id,field_name,field_type,values,definition,definition_source,parent_field_name,position
b1g_8XwiAQ81HSby,T3_EST29,esriFieldTypeInteger,,"Owner occupied AND with housing cost burden greater than 30% but less than or equal to 50%, None of the needs above AND household income is greater than 30% but less than or equal to 50% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST30,esriFieldTypeInteger,,"Owner occupied AND with housing cost burden greater than 30% but less than or equal to 50%, None of the needs above AND household income is greater than 50% but less than or equal to 80% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST31,esriFieldTypeInteger,,"Owner occupied AND with housing cost burden greater than 30% but less than or equal to 50%, None of the needs above AND household income is greater than 80% but less than or equal to 100% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST27,esriFieldTypeDouble,,"Owner occupied AND with housing cost burden greater than 30% but less than or equal to 50%, None of the needs above",,,
b1g_8XwiAQ81HSby,T3_EST77,esriFieldTypeInteger,,"Renter occupied AND housing cost burden not computed, None of the needs above AND household income is less than or equal to 30% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST78,esriFieldTypeInteger,,"Renter occupied AND housing cost burden not computed, None of the needs above AND household income is greater than 30% but less than or equal to 50% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST79,esriFieldTypeInteger,,"Renter occupied AND housing cost burden not computed, None of the needs above AND household income is greater than 50% but less than or equal to 80% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST80,esriFieldTypeInteger,,"Renter occupied AND housing cost burden not computed, None of the needs above AND household income is greater than 80% but less than or equal to 100% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST76,esriFieldTypeInteger,,"Renter occupied AND housing cost burden not computed, None of the needs above",,,
b1g_8XwiAQ81HSby,T3_EST34,esriFieldTypeInteger,,"Owner occupied AND housing cost burden not computed, None of the needs above AND household income is less than or equal to 30% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST35,esriFieldTypeInteger,,"Owner occupied AND housing cost burden not computed, None of the needs above AND household income is greater than 30% but less than or equal to 50% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST36,esriFieldTypeInteger,,"Owner occupied AND housing cost burden not computed, None of the needs above AND household income is greater than 50% but less than or equal to 80% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST37,esriFieldTypeInteger,,"Owner occupied AND housing cost burden not computed, None of the needs above AND household income is greater than 80% but less than or equal to 100% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST33,esriFieldTypeInteger,,"Owner occupied AND housing cost burden not computed, None of the needs above",,,
b1g_8XwiAQ81HSby,T2_EST128,esriFieldTypeInteger,,Renter occupied AND has 1 or more of the 4 severe housing unit problems AND household income is less than or equal to 30% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST136,esriFieldTypeInteger,,Renter occupied AND has 1 or more of the 4 severe housing unit problems AND household income is greater than 30% but less than or equal to 50% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST144,esriFieldTypeInteger,,Renter occupied AND has 1 or more of the 4 severe housing unit problems AND household income is greater than 50% but less than or equal to 80% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST152,esriFieldTypeInteger,,Renter occupied AND has 1 or more of the 4 severe housing unit problems AND household income is greater than 80% but less than or equal to 100% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST127,esriFieldTypeDouble,,Renter occupied AND has 1 or more of the 4 severe housing unit problems,,,
b1g_8XwiAQ81HSby,T2_EST4,esriFieldTypeInteger,,Owner occupied AND has 1 or more of the 4 severe housing unit problems AND household income is less than or equal to 30% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST12,esriFieldTypeInteger,,Owner occupied AND has 1 or more of the 4 severe housing unit problems AND household income is greater than 30% but less than or equal to 50% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST20,esriFieldTypeInteger,,Owner occupied AND has 1 or more of the 4 severe housing unit problems AND household income is greater than 50% but less than or equal to 80% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST28,esriFieldTypeInteger,,Owner occupied AND has 1 or more of the 4 severe housing unit problems AND household income is greater than 80% but less than or equal to 100% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST3,esriFieldTypeDouble,,Owner occupied AND has 1 or more of the 4 severe housing unit problems,,,
b1g_8XwiAQ81HSby,T2_EST169,esriFieldTypeInteger,,Renter occupied AND has None of the 4 severe housing unit problems AND household income is less than or equal to 30% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST177,esriFieldTypeInteger,,Renter occupied AND has None of the 4 severe housing unit problems AND household income is greater than 30% but less than or equal to 50% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST185,esriFieldTypeInteger,,Renter occupied AND has None of the 4 severe housing unit problems AND household income is greater than 50% but less than or equal to 80% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST193,esriFieldTypeInteger,,Renter occupied AND has None of the 4 severe housing unit problems AND household income is greater than 80% but less than or equal to 100% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST168,esriFieldTypeDouble,,Renter occupied AND has None of the 4 severe housing unit problems,,,
b1g_8XwiAQ81HSby,T2_EST45,esriFieldTypeInteger,,Owner occupied AND has None of the 4 severe housing unit problems AND household income is less than or equal to 30% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST53,esriFieldTypeInteger,,Owner occupied AND has None of the 4 severe housing unit problems AND household income is greater than 30% but less than or equal to 50% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST61,esriFieldTypeInteger,,Owner occupied AND has None of the 4 severe housing unit problems AND household income is greater than 50% but less than or equal to 80% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST69,esriFieldTypeInteger,,Owner occupied AND has None of the 4 severe housing unit problems AND household income is greater than 80% but less than or equal to 100% of HAMFI,,,
b1g_8XwiAQ81HSby,T2_EST44,esriFieldTypeDouble,,Owner occupied AND has None of the 4 severe housing unit problems,,,
b1g_8XwiAQ81HSby,T2_EST210,esriFieldTypeInteger,,"Renter occupied AND cost burden not computed, household has None of the other severe housing problems AND household income is less than or equal to 30% of HAMFI",,,
b1g_8XwiAQ81HSby,T2_EST218,esriFieldTypeInteger,,"Renter occupied AND cost burden not computed, household has None of the other severe housing problems AND household income is greater than 30% but less than or equal to 50% of HAMFI",,,
b1g_8XwiAQ81HSby,T2_EST226,esriFieldTypeInteger,,"Renter occupied AND cost burden not computed, household has None of the other severe housing problems AND household income is greater than 50% but less than or equal to 80% of HAMFI",,,
b1g_8XwiAQ81HSby,T2_EST234,esriFieldTypeInteger,,"Renter occupied AND cost burden not computed, household has None of the other severe housing problems AND household income is greater than 80% but less than or equal to 100% of HAMFI",,,
b1g_8XwiAQ81HSby,T2_EST209,esriFieldTypeInteger,,"Renter occupied AND cost burden not computed, household has None of the other severe housing problems",,,
b1g_8XwiAQ81HSby,T2_EST86,esriFieldTypeInteger,,"Owner occupied AND cost burden not computed, household has None of the other severe housing problems AND household income is less than or equal to 30% of HAMFI",,,
